2843ad924d2001b5, 289329dd4d2001df, 288b18924d200116
1631143492.650564, 79.36, 79.93, 79.25
1631143493.4969404, 79.36, 79.93, 79.25
1631143494.3437374, 79.36, 79.93, 79.25
1631143495.190393, 79.36, 79.93, 79.25
1631143496.0372472, 79.36, 79.81, 79.25
1631143496.884089, 79.36, 79.93, 79.25
1631143497.7307167, 79.36, 79.81, 79.25
1631143498.5776258, 79.36, 79.81, 79.25
1631143499.4241838, 79.36, 79.93, 79.25
1631143500.2710059, 79.36, 79.81, 79.25
1631143501.1176414, 79.36, 79.81, 79.25
1631143501.9643087, 79.36, 79.81, 79.14
1631143502.8110871, 79.36, 79.81, 79.25
1631143503.6577792, 79.36, 79.81, 79.25
1631143504.5045762, 79.36, 79.81, 79.25
1631143505.351241, 79.36, 79.81, 79.25
1631143506.1975667, 79.36, 79.81, 79.25
1631143507.0442572, 79.36, 79.81, 79.25
1631143507.8909533, 79.36, 79.81, 79.25
1631143508.737828, 79.25, 79.81, 79.25
1631143509.5844219, 79.36, 79.81, 79.25
1631143510.4311626, 79.36, 79.81, 79.25
1631143511.277674, 79.36, 79.81, 79.25
1631143512.1243942, 79.36, 79.81, 79.25
1631143512.9713116, 79.36, 79.81, 79.25
1631143513.8179662, 79.36, 79.81, 79.25
1631143514.6647427, 79.36, 79.81, 79.25
1631143515.5115635, 79.25, 79.81, 79.25
1631143516.3581645, 79.36, 79.81, 79.25
1631143517.2047908, 79.36, 79.81, 79.25
1631143518.0515196, 79.25, 79.81, 79.25
1631143518.8980494, 79.25, 79.81, 79.25
1631143519.7447884, 79.36, 79.81, 79.14
1631143520.5913575, 79.36, 79.81, 79.14
1631143521.438317, 79.36, 79.81, 79.25
1631143522.2850306, 79.36, 79.81, 79.25
1631143523.1317677, 79.36, 79.81, 79.25
1631143523.978427, 79.25, 79.81, 79.25
1631143524.8251708, 79.25, 79.81, 79.14
1631143525.6717446, 79.25, 79.81, 79.25
1631143526.5184689, 79.25, 79.81, 79.25
1631143527.3652, 79.36, 79.81, 79.14
1631143528.2117698, 79.25, 79.81, 79.25
1631143529.0584543, 79.25, 79.7, 79.14
1631143529.9051597, 79.25, 79.81, 79.14
