time, 2843ad924d2001b5, 289329dd4d2001df, 288b18924d200116
1631143982.8910792, 78.8, 79.25, 78.8
1631143983.7376041, 78.8, 79.25, 78.8
1631143984.584342, 78.8, 79.25, 78.91
1631143985.4311817, 78.8, 79.25, 78.8
1631143986.2777271, 78.8, 79.25, 78.8
1631143987.1244524, 78.8, 79.25, 78.8
1631143987.9708884, 78.8, 79.25, 78.8
1631143988.8175488, 78.8, 79.25, 78.8
1631143989.6639435, 78.8, 79.25, 78.8
1631143990.511036, 78.8, 79.25, 78.8
1631143991.3574493, 78.8, 79.25, 78.8
1631143992.2037838, 78.8, 79.25, 78.8
1631143993.0504427, 78.91, 79.25, 78.8
1631143993.897088, 78.91, 79.25, 78.8
1631143994.7438445, 78.8, 79.25, 78.8
1631143995.5906749, 78.8, 79.14, 78.8
1631143996.4372082, 78.8, 79.14, 78.8
1631143997.283451, 78.8, 79.25, 78.8
1631143998.1305234, 78.8, 79.25, 78.8
1631143998.9770763, 78.8, 79.25, 78.8
1631143999.8236434, 78.8, 79.25, 78.8
1631144000.6703353, 78.8, 79.25, 78.8
1631144001.5166154, 78.91, 79.25, 78.8
1631144002.3633947, 78.8, 79.25, 78.8
1631144003.2100408, 78.8, 79.25, 78.8
1631144004.0565698, 78.8, 79.14, 78.8
1631144004.9034102, 78.8, 79.25, 78.8
1631144005.749797, 78.8, 79.25, 78.8
1631144006.5964012, 78.8, 79.25, 78.8
1631144007.44307, 78.8, 79.25, 78.8
1631144008.2899272, 78.8, 79.25, 78.8
1631144009.136477, 78.91, 79.25, 78.8
1631144009.983167, 78.91, 79.25, 78.8
1631144010.8299162, 78.91, 79.25, 78.8
1631144011.6765418, 78.91, 79.25, 78.8
1631144012.5230098, 78.8, 79.25, 78.91
1631144013.36973, 78.91, 79.25, 78.8
1631144014.2163844, 78.91, 79.25, 78.8
1631144015.0629938, 78.91, 79.25, 78.8
1631144015.9097102, 78.91, 79.25, 78.8
1631144016.7562945, 78.91, 79.25, 78.8
1631144017.60288, 78.91, 79.25, 78.91
1631144018.4492533, 78.91, 79.25, 78.8
1631144019.2958915, 78.91, 79.25, 78.91
1631144020.1425996, 78.91, 79.25, 78.8
1631144020.9895277, 78.91, 79.25, 78.8
1631144021.8360522, 78.91, 79.25, 78.8
1631144022.6826174, 78.91, 79.25, 78.8
1631144023.5291843, 78.91, 79.25, 78.8
1631144024.3758068, 78.91, 79.25, 78.8
1631144025.222425, 78.91, 79.25, 78.91
1631144026.0691524, 78.91, 79.36, 78.8
1631144026.91599, 78.91, 79.25, 78.91
1631144027.7624207, 78.91, 79.36, 78.8
1631144028.6092172, 79.02, 79.36, 78.8
1631144029.4558334, 78.91, 79.25, 78.91
1631144030.3024476, 78.91, 79.36, 78.8
1631144031.1488082, 79.02, 79.36, 78.8
1631144031.9953756, 79.02, 79.36, 78.8
1631144032.8420107, 79.02, 79.36, 78.8
1631144033.6889446, 79.02, 79.36, 78.8
1631144034.5355494, 79.02, 79.36, 78.8
1631144035.3822422, 79.02, 79.36, 78.91
1631144036.2286046, 79.02, 79.36, 78.8
1631144037.0753632, 79.02, 79.36, 78.8
1631144037.922253, 79.02, 79.36, 78.8
1631144038.7686143, 79.02, 79.36, 78.91
1631144039.6152253, 79.02, 79.36, 78.8
1631144040.4617298, 79.02, 79.36, 78.91
1631144041.3084302, 79.02, 79.36, 78.8
1631144042.1550848, 79.02, 79.47, 78.8
1631144043.0016594, 79.02, 79.36, 78.8
1631144043.8479927, 79.02, 79.36, 78.8
1631144044.6945682, 79.02, 79.36, 78.8
1631144045.5412621, 79.14, 79.36, 78.8
1631144046.38819, 79.02, 79.47, 78.91
1631144047.2346385, 79.02, 79.36, 78.8
1631144048.0813808, 79.14, 79.36, 78.8
1631144048.9278855, 79.14, 79.47, 78.8
1631144049.7745547, 79.14, 79.36, 78.8
1631144050.6212592, 79.02, 79.47, 78.8
1631144051.467853, 79.14, 79.36, 78.91
1631144052.3145041, 79.14, 79.47, 78.8
1631144053.161147, 79.02, 79.47, 78.91
1631144054.0077803, 79.14, 79.47, 78.8
1631144054.8544252, 79.14, 79.47, 78.8
1631144055.7009628, 79.02, 79.47, 78.8
1631144056.5475717, 79.14, 79.47, 78.8
1631144057.394089, 79.14, 79.47, 78.8
1631144058.2407782, 79.02, 79.59, 78.8
1631144059.0876515, 79.14, 79.59, 78.91
1631144059.9343498, 79.14, 79.47, 78.8
1631144060.780997, 79.14, 79.47, 78.8
1631144061.6275778, 79.02, 79.59, 78.8
1631144062.4743228, 79.14, 79.47, 78.8
1631144063.320946, 79.02, 79.59, 78.8
1631144064.167646, 79.02, 79.59, 78.8
1631144065.0142944, 79.14, 79.59, 78.8
1631144065.860963, 79.02, 79.59, 78.8
1631144066.7076106, 79.14, 79.59, 78.91
