2843ad924d2001b5, 289329dd4d2001df, 288b18924d200116
1631143259.5943542, 80.71, 81.61, 79.93
1631143260.441073, 80.71, 81.61, 79.93
1631143261.2879345, 80.71, 81.61, 79.93
1631143262.1346855, 80.71, 81.61, 79.93
1631143262.9812906, 80.71, 81.61, 79.93
1631143263.828179, 80.71, 81.61, 79.93
1631143264.6749256, 80.71, 81.61, 79.81
1631143265.5219617, 80.71, 81.61, 79.81
1631143266.3688774, 80.71, 81.61, 79.81
1631143267.2157419, 80.71, 81.61, 79.93
1631143268.0625696, 80.71, 81.61, 79.93
1631143268.9093251, 80.71, 81.61, 79.93
1631143269.756223, 80.71, 81.61, 79.93
